fridgeTemp,bpm,temp,sg,count,temp_target,roomTemp,gravity_target,hysteresis,device_integration,percentage,report_source,type,pour_volume,battery,device_state,comment,volume_unit,time,rssi,device_source,beer,max_volume,ph,pressure,id,volume,angle,__acc_reading_doc_id,__acc_reading_data_id,timepoint
,,1.9,1.01,,,,,,default,,,stream,,,,,,1741897421632,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,vZ5Rl6rhZRiakVdc7DVq,2025-03-13T20:23:41.632Z
,,2,1.01,,,,,,default,,,stream,,,,,,1741896520606,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,AbiWQ1gE2TKWQGMvJIVb,2025-03-13T20:08:40.606Z
,,2,1.01,,,,,,default,,,stream,,,,,,1741895618063,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,3vNIHlg0rEVioaLEPQKB,2025-03-13T19:53:38.063Z
,,16.8,,,,,,,default,,,stream,,,,,,1741894760312,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,BW59IGs2tK8CpannvRs4,2025-03-13T19:39:20.312Z
,,2.2,1.01,,,,,,default,,,stream,,,,,,1741891982988,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,7EpuKwjcGNAynkkvc9G3,2025-03-13T18:53:02.988Z
,,2.4,1.01,,,,,,default,,,stream,,,,,,1741888382873,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,7ktaMKdnKd8kvJiLMGFL,2025-03-13T17:53:02.873Z
,,2.6,1.01,,,,,,default,,,stream,,,,,,1741884783495,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,bvsRWD0soWLVTkBL83Xd,2025-03-13T16:53:03.495Z
,,5.1,1.009,,,,,,default,,,stream,,,,,,1741880764838,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,TaYmUU0EPz69lbZfzgTb,2025-03-13T15:46:04.838Z
,,5.3,1.009,,,,,,default,,,stream,,,,,,1741848774948,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,BROVT4uU6pDUxxQjRd5q,2025-03-13T06:52:54.948Z
,,5.3,1.009,,,,,,default,,,stream,,,,,,1741845174742,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,7t0YoqJXURoqkzcKnCUf,2025-03-13T05:52:54.742Z
,,4.9,1.009,,,,,,default,,,stream,,,,,,1741841574814,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,QQbooBDQx3pLVM0aZvGz,2025-03-13T04:52:54.814Z
